id,dialect,dialect_l_encoded,text
1160870441654857728,AE,15,مبرووح ياولد موزه بيبيي منوالمترجم رابطويب
1156386584800964608,EG,10,ربوا اولادكم علي الاحترام والادب والمباديء والقيم ، لان الجيل اللي اتربي علي ( تف علي عمو يا حبيبي ) ( اشتم خالو ياحبيبي ) كبر النهارده وبقي يتف علي المبادئ والاصول وع المجتمع كله وعليك انت شخصيا ✍️ 
965162153991921664,IQ,8,حسابشخصي بعدين ليش ما تغيرون اسم حسابكم الي عالم ريال مدريد . . اشوفه انسب 😅 
961605643542188032,TN,16,حسابشخصي الامور حسمت سنع نفسك واكل بيمناك مهوب تتعثر الليله
995356712046661632,SD,1, ♂️ ❤ 🇸🇩 كتبت ليك وقفت ليك لامن لقيتك جايه من قلب الطريق ولمحت فيك راحه المشاوير البعيده ونفحه النسمه الحنينه الجايه من قلب الطريق حسيت عجايب الدنيا اتلمـت بقت جايـاني من عصرا سحيق عينيكي حس اطفال بنادوا القمره لي الغايب يعود وجبينك الضواي حجا الحبـوبه في الزمن السعيد رابطويب
1129811286433423360,JO,6,حسابشخصي هه طيب واللي ما بحب البرتقال والموز كمان شو وضعو ! ! ! شكلي مضيعه ع حالي كلشي 😅 
447683535277924416,LY,17,حسابشخصي حسابشخصي وينكم تويتر امكسد له فتره هه ولا معش اتديرن في عرايك 😂 
1077623908734550016,EG,10,حسابشخصي ياواد امال بتطفوا النور لييه 😂 
956097734439788416,DZ,14,حسابشخصي لا انتي بقي مصدقه كلامهم وبتضعفي هه يابنتي التسريبات لي عندهم لحد حلقه 31 اكتر من كدا هما مش عارفين حاجه
1025019192943292416,LY,17,حسابشخصي حسابشخصي حياتي خجلتني بكلامك 🙈 ❤ربي يسعدك حياتي 😘 ❤ ويخلينا لبعض 🙏 من عيوني 👍 رح ضيفك حياتي
949689372953243648,YE,12,احنا الغلط او الزمن هذا الغلط ( لسنا الغلط ولا الزمان ) ان مجتمع اليوم هو الغلط
1143760108566012032,LB,5,حسابشخصي بخاف ينزعو الغساله 🚀 🌺 صباح النور 🌺 
1177831807536025600,SA,2,حسابشخصي الله يحفظها لك ويكسبك رضاها
1102978548241965056,QA,4,حسابشخصي الحين الهمج بيقولون هذا مطار قطر فاضي ما فيه حد 😂 
896946993909698560,JO,6,حسابشخصي حسابشخصي حسابشخصي فيني استعير الصوره بلييز 😂 
982791129379860352,QA,4,حسابشخصي يا سبحان الله . . شكله كانه من المغضوب عليهم . . وجه طفس . . اللي يشوفه يقول ابليس الملعون . . ان شاء الله نهايته في طيارته . . امين . 
775107688929910784,BH,13,قبل ٤ عقود … العيديه التي لا تنسي … كنت اشتري بيها بيبسي + توفو + مينو شوفوا الرسمات اللي تشرح الصدر . #البحرين رابطويب
598709778123108352,BH,13,حسابشخصي حسابشخصي حسابشخصي بيرلو محمد ما قصر بالمباراه . . اما سباك كالياري فالظاهر الحظ بيكمل وياه وبيصير بطل 😛 
838606506819989504,BH,13,عندك ناس يعيشو بلا هم . . وين ما تروح يصيبك بلاهم . . وعندك ناس ما تسوا بلاهم . وعندك ناس ياريتك بلاهم . . 
